date,BadWeather,Holiday
2018-04-02,4,1
2018-04-09,4,0
2018-04-16,1,0
2018-04-23,3,0
2018-04-30,5,1
2018-05-07,4,0
2018-05-14,3,0
2018-05-21,5,0
2018-05-28,6,0
2018-06-04,5,0
2018-06-11,0,0
2018-06-18,4,1
2018-06-25,5,0
2018-10-22,3,0
2018-12-31,6,1
2019-01-07,5,0
2019-01-14,5,0
2019-01-21,0,0
2019-01-28,3,0
2019-02-04,6,3
2019-02-11,7,0
2019-02-18,5,0
2019-02-25,6,0
2019-03-04,6,0
2019-03-11,1,0
2019-03-25,5,0
2019-04-01,3,1
2019-04-08,4,0
2019-04-15,3,0
2019-04-22,5,0
2019-05-06,0,0
2019-05-13,5,0
2019-05-20,2,0
2019-05-27,5,0
2019-06-03,1,1
2019-06-10,5,0
2019-06-17,6,0
2019-06-24,4,0
2019-07-01,4,0
2019-07-08,6,0
2019-07-15,1,0
2019-07-22,2,0
2019-08-05,3,0
2019-08-12,2,0
2019-08-19,1,0
2019-08-26,4,0
2018-03-26,2,0
2018-07-23,4,0
2018-07-30,3,0
2018-08-06,1,0
2018-08-27,3,0
2018-09-10,5,0
2018-09-17,6,0
2018-09-24,1,1
2018-10-01,0,3
2018-10-08,3,0
2018-10-15,4,0
2018-10-29,2,0
2018-11-05,5,0
2018-11-12,7,0
2018-11-19,4,0
2018-11-26,1,0
2018-12-03,7,0
2018-12-10,4,0
2018-12-17,5,0
2018-12-24,4,0
2019-03-18,6,0
2019-04-29,2,1
2019-07-29,3,0
2018-07-09,2,0
2018-07-16,2,0
2018-08-13,3,0
2018-08-20,5,0
2018-09-03,3,0
2018-07-02,6,0
2018-03-19,4,0
2018-03-12,4,0